longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-122.08786003156592,37.455870325083886,13.994916016404547,659.0,37.0,4187.0,929.0,19331.958286597383,<1H OCEAN,276029.7563581386
-121.42964807721397,37.85421557725251,12.955492525575096,3772.0,780.0,714.0,610.0,19206.875843665865,INLAND,292937.28670077655
-122.60065243568329,38.63602953184498,48.677517182869835,4683.0,369.0,3603.0,105.0,22785.404026844153,NEAR OCEAN,268860.8668980235
-121.97153112317278,38.72146116651269,20.26178850867126,3443.0,695.0,4135.0,99.0,20824.07589741152,ISLAND,234029.82968847195
-121.81517086227592,37.01390426106238,44.71028120367855,4170.0,525.0,3523.0,511.0,96131.21172048218,NEAR OCEAN,397346.89126921026
-122.90709917456,38.021494605155134,31.92579267386588,4899.0,279.0,4269.0,385.0,27282.012659871725,NEAR BAY,55491.38254312003
-121.78491029619713,37.83482200629756,39.945753873540774,1570.0,217.0,4749.0,405.0,51850.09249857948,NEAR OCEAN,319299.2155423522
-122.65895175262541,37.44421562094146,25.629217562154412,680.0,867.0,4850.0,823.0,134518.26148590178,NEAR BAY,304478.7562953382
-122.86989681402945,37.23973073466737,29.268290346691597,2394.0,873.0,1244.0,518.0,71094.24603943086,NEAR OCEAN,372280.58362982847
-121.10222892549334,37.675230342807254,25.13336699712433,3247.0,798.0,3710.0,476.0,100133.66077815408,NEAR BAY,319563.2141497969
-121.06873593385089,38.88581940782504,10.56690640210418,4349.0,273.0,1082.0,977.0,25847.980680244476,INLAND,422059.47251408524
-121.38320530376708,37.64640586404151,36.40015364781376,1779.0,881.0,456.0,709.0,28843.352821300618,<1H OCEAN,481583.6575538125
-122.39077246165326,38.037581243486734,14.757845759601935,3606.0,62.0,4925.0,863.0,6130.2924399718295,ISLAND,204135.91573034454
-122.80465577198723,38.40603791779036,2.191482355141238,2844.0,596.0,895.0,645.0,25340.259460824684,NEAR OCEAN,152307.94236349416
-121.63153394697568,37.72725920475859,32.62814249945122,3456.0,880.0,1385.0,870.0,41788.55085479379,<1H OCEAN,240618.5880892173
-122.1196950125208,38.94356416544192,9.678423290945398,4145.0,729.0,1959.0,771.0,26551.572641512023,ISLAND,179568.32741407678
-122.75592353031044,38.924894589884225,47.0824706332928,1343.0,342.0,3073.0,437.0,13305.380063558341,ISLAND,326727.6184186945
-122.00964617977746,37.50356459165073,47.74250027312678,3218.0,397.0,1997.0,23.0,18095.38066509012,NEAR BAY,460333.5839793341
-122.93122295776956,37.99449701178477,45.82835512080198,2241.0,699.0,4286.0,997.0,69116.81520490887,INLAND,112602.28736437784
-121.18135919584243,37.60175661963354,19.137776312516774,3159.0,19.0,505.0,565.0,30950.057760868876,INLAND,95357.57135714893
-122.48244003679997,37.56968098875493,1.757374209914504,4648.0,177.0,1215.0,677.0,54640.47915721132,<1H OCEAN,165206.989334148
-121.67495543129203,37.07377389470906,46.48760956679855,3059.0,612.0,1532.0,714.0,75512.59062822853,INLAND,376743.0137280803
-122.37657784782118,38.219128667959794,21.9810232675484,2365.0,396.0,3441.0,458.0,103559.22429440479,NEAR OCEAN,316833.3073664697
-121.95986395764437,38.00535804645772,48.36608613313981,2579.0,445.0,824.0,83.0,5896.82097616484,INLAND,95995.69890133981
-121.90657944131344,37.102957502499976,48.21737887737339,4746.0,233.0,929.0,145.0,119911.55983635639,<1H OCEAN,463437.7350173359
-122.63029108894895,37.557292928473224,42.79746331790064,1735.0,915.0,134.0,85.0,94185.05842363616,INLAND,405538.086705839
-121.06083074447088,38.816531771933306,15.427995711409698,1857.0,76.0,2106.0,78.0,12263.854792330787,NEAR OCEAN,60360.17215443688
-121.44973435327778,37.479123781333946,19.869788701494336,4552.0,265.0,3628.0,457.0,131036.79361601658,NEAR BAY,343115.24494471075
-121.12100211687162,37.28978974418244,42.70569690432599,2170.0,455.0,4781.0,878.0,138130.86007977198,<1H OCEAN,397061.0008338821
-121.2103452991447,37.978905520555124,16.529178252657605,2949.0,796.0,1853.0,1.0,9161.693978229563,NEAR BAY,218495.9163741899
-121.80420004237783,38.9713009082212,9.305144587618532,3351.0,718.0,4911.0,51.0,41531.64722208056,NEAR BAY,81014.69271524846
-121.15625152995376,37.484110543023,28.283261860459156,3830.0,735.0,4176.0,685.0,120930.1919689592,NEAR BAY,84794.47946995427
-122.82301499589616,38.34427109481176,46.87158393387827,2589.0,384.0,2934.0,717.0,112238.95355754875,ISLAND,96911.13472331427
-122.60803427516171,38.52323923065744,35.10546003707368,1731.0,564.0,3285.0,772.0,27678.152903456597,ISLAND,428197.8343911903
-122.90954542217892,37.4752750879848,28.932997334378882,2916.0,851.0,4299.0,446.0,31402.398500506544,NEAR BAY,459808.7892150709
-122.34933933847347,38.45643269722372,5.761648194767658,1115.0,506.0,2812.0,449.0,55570.815418707294,<1H OCEAN,105264.85183058021
-122.22264542062103,37.73556626543851,31.135354108259317,1448.0,367.0,1251.0,881.0,72678.4477786532,NEAR OCEAN,156157.71556778654
-122.45730193645221,38.26461166118716,49.5126386551089,4711.0,144.0,3513.0,488.0,92738.21572954439,NEAR OCEAN,124484.22966528039
-121.34252498169614,38.267059421521786,7.864116746589677,3187.0,885.0,1257.0,800.0,55337.04593546586,INLAND,133844.39577235433
-122.28649334661282,38.07154936814952,26.3981529658231,2939.0,69.0,3377.0,34.0,69380.20741997218,<1H OCEAN,426870.85505112144
-122.43813098062523,37.180579540108816,43.991280524469815,435.0,99.0,3487.0,348.0,112120.64072006349,ISLAND,199465.88569472253
-121.9146078336835,38.67060499117848,37.29766226995602,4692.0,396.0,3585.0,95.0,5502.480433589685,NEAR BAY,190149.91882053853
-122.71815155005048,37.64156012994347,35.15377130876813,995.0,25.0,1397.0,72.0,37865.54165160311,INLAND,152328.0293947007
-121.39560603849192,37.37303702079971,35.42172011536835,3646.0,948.0,3638.0,551.0,107002.43788268286,NEAR OCEAN,323552.47720741644
-122.85089871264046,37.08155028310953,18.615066409768005,951.0,891.0,3331.0,154.0,134281.0256530799,ISLAND,220687.56427349697
-121.02622612679896,38.18178588637648,15.386000368960175,1787.0,469.0,2704.0,250.0,76751.61631734992,ISLAND,384912.34332948
-121.45551046140669,38.355128723684565,40.658696618447166,2031.0,484.0,471.0,674.0,79817.02278979735,NEAR BAY,142510.91376903688
-122.60256863693165,37.033175657855715,40.695556339279854,3846.0,565.0,1354.0,438.0,16075.801700966407,NEAR OCEAN,404505.4499215216
-122.98895576575279,38.024186116598564,43.48654361042508,2527.0,151.0,2784.0,118.0,67111.85502351819,<1H OCEAN,321674.68927856255
-121.36907714309034,37.45299155039588,45.748787075267096,1668.0,144.0,2832.0,771.0,79892.58996825348,ISLAND,101420.28502505948
-121.58628531230477,38.2903455808189,26.05577754418595,4100.0,569.0,358.0,891.0,36370.57554520945,NEAR BAY,236527.06289163246
-121.54198566391803,37.34873285800998,25.57429843967278,2838.0,39.0,3020.0,306.0,40386.484642407144,<1H OCEAN,438583.1632758306
-121.45745930662811,38.38187547620493,40.11646376937198,3598.0,109.0,668.0,268.0,56592.6244656934,NEAR OCEAN,465332.1043093182
-122.85191069653182,37.77347069260107,32.84823260811049,4013.0,693.0,4469.0,961.0,3010.6796666589553,ISLAND,259565.05504346592
-122.28306854291145,38.873459977473466,35.39637698562746,1166.0,42.0,1146.0,54.0,48311.874837476746,<1H OCEAN,266376.6401400831
-122.76826188094974,37.27504188829199,39.99384080236895,4480.0,186.0,4186.0,236.0,31717.201049481697,<1H OCEAN,463304.6262226855
-121.27379314824881,37.68213270210052,44.61026174906075,2544.0,935.0,3720.0,389.0,49124.602826687194,<1H OCEAN,314180.70086145523
-121.75340374634489,37.22694704248118,17.561762685725256,4207.0,398.0,2746.0,990.0,17964.319772887684,ISLAND,64781.00160954725
-122.3382039502947,38.84938723655713,19.403564679357256,3473.0,223.0,540.0,734.0,133579.09211098423,ISLAND,460737.258295608
-122.87288329942795,38.754678706761965,5.605115052202581,4069.0,634.0,2780.0,763.0,89038.8680331073,INLAND,161701.89924071834
-122.37803535656867,37.51588325543031,29.335726908812525,2646.0,133.0,4965.0,825.0,101865.34787167344,NEAR OCEAN,309934.37934119627
-122.34963335594651,38.31996809206836,2.761171416040362,853.0,163.0,4137.0,401.0,118375.68579110074,NEAR BAY,124480.99284258822
-121.54078764332387,38.63444440040243,23.81430288849055,2182.0,215.0,4836.0,624.0,74766.32983935859,<1H OCEAN,65245.62211096774
-121.72488505728957,38.110401623198925,27.589587100671256,2874.0,733.0,3776.0,767.0,13038.043213113553,INLAND,190162.92700974084
-121.22557451484735,38.05930115671201,15.040521354285936,2996.0,235.0,2509.0,303.0,80565.98127278217,NEAR BAY,401223.0683957394
-122.0555701496761,37.4837045818009,29.950829767881526,4285.0,843.0,2780.0,919.0,88026.16770313187,INLAND,174914.22768323816
-122.7608115081234,37.1862055356118,2.494512247013422,875.0,658.0,925.0,207.0,111815.9211276495,ISLAND,149043.74633649367
-121.573510425554,38.79443151590665,2.830061248711506,1725.0,751.0,2957.0,229.0,64748.93193445191,<1H OCEAN,145706.35295355183
-121.47842990276621,38.800836114326664,41.307427472323255,3169.0,588.0,1582.0,853.0,19137.045419334565,NEAR BAY,281828.1570830657
-121.87744560486101,38.26620291454653,18.64934142915188,517.0,9.0,3325.0,910.0,42566.38586980867,NEAR BAY,488993.5920572403
-121.45806564009088,37.678059582097404,7.225965119942354,214.0,74.0,4486.0,578.0,54462.34445979526,NEAR BAY,256545.04460765587
-122.01240880727121,37.69841914922532,26.589919742685414,716.0,954.0,256.0,75.0,96887.58619974018,NEAR BAY,300787.4160005215
-121.95453434123601,38.45191135774048,38.72968410183193,4074.0,492.0,4805.0,435.0,85616.74570033679,NEAR BAY,437284.4080508303
-122.14491796328291,38.79422051990515,11.575230347345316,3367.0,913.0,1839.0,103.0,53414.508884676936,INLAND,290781.37352014636
-122.9491617465118,38.774172848530235,31.521633315131012,925.0,253.0,1945.0,422.0,147977.28731894697,<1H OCEAN,133008.29213848524
-122.78421714601339,38.55975109171525,5.182025784694632,1616.0,230.0,10.0,704.0,90866.22290353307,ISLAND,184818.16029491468
-122.14491796328291,38.79422051990515,11.575230347345316,3367.0,913.0,1839.0,103.0,53414.508884676936,INLAND,314027.88757346343
-122.9491617465118,38.774172848530235,31.521633315131012,925.0,253.0,1945.0,422.0,147977.28731894697,<1H OCEAN,173785.14856754243
-122.78421714601339,38.55975109171525,5.182025784694632,1616.0,230.0,10.0,704.0,90866.22290353307,ISLAND,219838.36470659083
-122.14491796328291,38.79422051990515,11.575230347345316,3367,913,1839,103,53414.508884676936,INLAND,314027.88757346343
-122.9491617465118,38.774172848530235,31.521633315131012,925,253,1945,422,147977.28731894697,<1H OCEAN,173785.14856754243
-122.78421714601339,38.55975109171525,5.182025784694632,1616,230,10,704,90866.22290353307,ISLAND,219838.36470659083
-121.66886415003196,37.16805011906544,30.6,240.0,226.0,2811.0,355.0,801013.01,NEAR OCEAN,885766.0
-121.48400577007536,37.65227283221676,32.2,246.0,886.0,942.0,756.0,778308.49,NEAR OCEAN,1053289.0
-122.28686882568694,37.29899957138759,50.7,2713.0,954.0,654.0,391.0,410153.89,NEAR OCEAN,727094.0
-121.62650038713302,37.174110872573614,47.1,1666.0,128.0,2967.0,443.0,228352.05,NEAR OCEAN,607402.0
-122.8573161719405,38.362931864048946,28.3,3904.0,846.0,2503.0,702.0,336553.64,ISLAND,338995.0
-121.19167709736443,37.16551873039233,21.0,2449.0,336.0,1226.0,662.0,800102.53,INLAND,744786.0
-122.20592526689852,38.36284022002928,38.6,1424.0,211.0,2328.0,114.0,588011.47,<1H OCEAN,619333.0
-121.98969288427283,38.46190382854264,39.5,4363.0,386.0,2006.0,925.0,232091.27,ISLAND,939076.0
-122.23610512829609,37.44037992831116,41.6,2130.0,270.0,2850.0,867.0,432659.98,NEAR BAY,742293.0
-121.96125531584542,37.72179469840591,48.1,3724.0,500.0,495.0,101.0,340788.09,NEAR OCEAN,1016201.0
-122.23398242247937,37.14884711718262,33.5,3416.0,965.0,1009.0,444.0,353826.31,ISLAND,427385.0
-121.14187330591989,38.409068022918284,25.7,2147.0,850.0,1705.0,458.0,664292.89,NEAR OCEAN,1047507.0
-121.16570008509868,37.07282191183037,26.8,861.0,942.0,2040.0,754.0,366739.18,ISLAND,1110675.0
-121.98115935095888,38.103648677748346,35.1,1013.0,485.0,2722.0,540.0,313477.03,<1H OCEAN,735151.0
-122.12176773333888,37.52352090445807,24.7,2221.0,841.0,337.0,203.0,800382.91,NEAR BAY,410669.0
-121.28476098090599,37.05628897211378,31.8,1742.0,496.0,2951.0,265.0,739134.06,<1H OCEAN,1068546.0
-121.79765560031812,38.32932978935374,45.0,1471.0,640.0,616.0,802.0,411514.66,ISLAND,420151.0
-122.16702933998536,38.30151581001666,51.0,3234.0,954.0,486.0,492.0,552848.62,<1H OCEAN,510560.0
-122.52731855348772,38.27736947953802,48.1,686.0,373.0,900.0,473.0,347158.56,NEAR BAY,351042.0
-122.09203220136614,38.416213009659955,19.4,356.0,308.0,1621.0,176.0,716079.7,ISLAND,325619.0
-121.39649759855699,37.46144841235561,37.8,3476.0,141.0,325.0,393.0,196385.65,INLAND,1095064.0
-121.58182205488744,37.05018700036594,32.0,4604.0,119.0,768.0,167.0,471447.62,NEAR OCEAN,923313.0
-121.23011026530335,37.47564719533896,27.4,983.0,465.0,813.0,851.0,474867.73,ISLAND,706447.0
-122.75499019649835,37.2641092267546,38.4,4043.0,760.0,1402.0,399.0,275600.44,NEAR BAY,319300.0
-121.64708753005036,38.003438014125365,19.0,3307.0,430.0,380.0,360.0,472315.27,NEAR OCEAN,969073.0
-121.83964886308527,37.04795538672351,49.3,1088.0,803.0,2729.0,605.0,813681.57,NEAR OCEAN,660124.0
-122.97091246815683,37.50829138664394,48.5,3506.0,200.0,1488.0,831.0,829569.03,NEAR OCEAN,1059734.0
-121.23363680994512,37.61044027179231,33.5,932.0,611.0,2317.0,292.0,483015.56,<1H OCEAN,334503.0
-122.12466786080452,37.617637175055094,37.4,1396.0,532.0,611.0,281.0,250533.43,NEAR BAY,645145.0
-122.38073767741412,37.98669984375512,38.7,3409.0,109.0,343.0,654.0,479440.78,NEAR BAY,868507.0
-122.5102813685707,37.19904523101852,24.0,1723.0,319.0,2207.0,334.0,350185.62,INLAND,575279.0
-121.55333361588369,38.32004944877713,41.6,4169.0,361.0,2383.0,830.0,681709.59,NEAR BAY,879961.0
-122.48945073897495,38.367072250454555,31.0,1844.0,628.0,766.0,419.0,183677.97,<1H OCEAN,341525.0
-122.8030444988105,38.373976487307495,28.0,1639.0,283.0,1679.0,294.0,390382.65,NEAR OCEAN,519678.0
-121.94041308770043,37.50127234126414,50.9,3346.0,750.0,1749.0,306.0,215489.74,NEAR BAY,1095186.0
-121.98810621953479,37.273637994217026,40.8,356.0,483.0,290.0,879.0,462850.25,NEAR BAY,356672.0
-121.63395174498459,38.1295481867143,23.1,3850.0,290.0,659.0,246.0,839917.94,ISLAND,897331.0
-121.00299624859161,37.751846033564405,39.8,2492.0,674.0,1581.0,367.0,508239.66,NEAR OCEAN,375968.0
-121.64267755812894,37.07853078693777,26.6,726.0,873.0,295.0,906.0,798743.66,NEAR BAY,1193371.0
-122.80801009326335,37.28937582827604,33.1,4555.0,744.0,1030.0,479.0,385960.45,NEAR OCEAN,1058510.0
-122.76348596486532,38.44118599519382,26.6,1514.0,957.0,1028.0,742.0,494119.93,<1H OCEAN,493873.0
-121.43210937214988,37.841858863850454,33.0,3594.0,695.0,410.0,654.0,622028.71,NEAR OCEAN,911777.0
-122.82956298150378,37.39774206372898,32.7,1960.0,592.0,1183.0,271.0,702019.21,NEAR BAY,584021.0
-121.54071327110681,38.21380423612792,33.6,4830.0,279.0,2108.0,335.0,757604.37,NEAR BAY,1008389.0
-122.77979704686604,38.04494909238687,31.8,4047.0,697.0,1940.0,572.0,164373.9,INLAND,457605.0
-122.51775456145947,38.23551222241421,32.1,4289.0,843.0,1999.0,742.0,205053.45,INLAND,330068.0
-121.75265786832014,37.01783121790197,46.7,2892.0,742.0,392.0,926.0,512705.9,NEAR OCEAN,1009143.0
-122.46087728157983,37.49834469979558,37.7,1324.0,320.0,1524.0,790.0,368033.23,INLAND,1027758.0
-122.3672380279355,37.99901533087835,24.1,1890.0,203.0,659.0,752.0,560419.98,ISLAND,494834.0
-121.56524286208275,37.920253532552664,32.1,2245.0,834.0,841.0,116.0,587312.3,NEAR BAY,1016772.0
-121.52068805956002,37.20344620897984,23.5,4192.0,514.0,2774.0,934.0,515520.98,<1H OCEAN,1019737.0
-121.68821687907722,37.18514013579993,22.6,387.0,412.0,327.0,264.0,105798.53,NEAR OCEAN,769811.0
-122.58985990248442,37.07604014167095,28.3,4427.0,488.0,1228.0,932.0,367067.46,ISLAND,936039.0
-121.16777644581872,37.73272793163806,39.7,2347.0,653.0,1776.0,409.0,698020.38,NEAR OCEAN,993436.0
-121.73461420232908,38.49747164545344,42.3,3944.0,806.0,948.0,884.0,643614.02,INLAND,394844.0
-121.30201618955334,38.04839168958308,42.5,600.0,337.0,741.0,912.0,843194.62,NEAR BAY,1176679.0
-122.89382386333966,37.83195343894961,46.3,1704.0,874.0,2235.0,486.0,863756.46,<1H OCEAN,1033067.0
-122.35383123026159,38.47344804176802,24.3,1800.0,184.0,2149.0,680.0,207469.01,INLAND,468629.0
-122.53675794930574,37.015724316793765,37.4,3580.0,368.0,843.0,215.0,533244.77,ISLAND,1083525.0
-121.93811812870814,37.58027626699194,27.7,1938.0,136.0,875.0,460.0,115435.24,NEAR BAY,914357.0
-121.01813780220559,37.46203408482963,31.6,2765.0,688.0,706.0,834.0,337101.32,NEAR OCEAN,820193.0
-121.8859092751867,37.39640764795569,29.5,4322.0,352.0,2129.0,923.0,741830.35,ISLAND,877286.0
-122.83878424755606,38.48413440160042,39.6,527.0,919.0,704.0,829.0,396809.25,ISLAND,607731.0
-122.25516397707639,37.865115077847065,33.2,3844.0,460.0,2723.0,765.0,115428.91,NEAR BAY,874291.0
-121.98462790269429,38.197793641087394,24.5,4547.0,495.0,571.0,750.0,394307.87,ISLAND,1091388.0
-122.23118203639252,37.89319621705798,47.3,3767.0,122.0,2430.0,778.0,409347.58,NEAR OCEAN,672964.0
-122.85169304413984,37.61953747328976,37.7,2964.0,654.0,681.0,956.0,779280.52,NEAR OCEAN,385519.0
-122.81444813540092,37.96308429147621,36.2,3608.0,604.0,2689.0,819.0,467584.56,NEAR OCEAN,1093910.0
-121.68238632687451,37.70572279935017,20.2,3419.0,810.0,783.0,270.0,646994.89,NEAR OCEAN,575892.0
-122.3412948561551,37.434479540930965,29.3,3617.0,611.0,2084.0,679.0,346083.84,NEAR BAY,1158706.0
-121.73251327075889,38.29612130055549,39.2,3563.0,486.0,1163.0,701.0,594509.46,NEAR BAY,756501.0
-121.51010422213206,37.69893529771543,50.6,2125.0,985.0,2115.0,789.0,768036.95,ISLAND,601605.0
-121.61096835687883,37.65466550327563,47.2,179.0,241.0,773.0,995.0,763881.16,NEAR BAY,767681.0
-121.42082118929578,37.116635626688485,28.0,988.0,105.0,1734.0,384.0,328722.34,INLAND,912604.0
-122.54195694236255,38.29605306037821,27.5,3951.0,486.0,867.0,164.0,825965.86,<1H OCEAN,976631.0
-122.34509759184269,37.79883405460585,50.7,2677.0,948.0,753.0,417.0,664811.56,NEAR OCEAN,747733.0
-121.12558994282804,37.8337680900892,29.4,2255.0,368.0,2700.0,974.0,593027.49,<1H OCEAN,615244.0
-122.92709051886246,37.60276781572313,28.3,4081.0,527.0,803.0,285.0,385061.19,NEAR BAY,343882.0
-121.28176326406141,37.90010917071256,19.2,3437.0,531.0,2936.0,851.0,420117.28,INLAND,728229.0
-121.15170744570835,38.08495750010075,23.6,2426.0,434.0,1064.0,507.0,608659.0,<1H OCEAN,1111505.0
-122.43329169328804,38.100697751171104,36.7,1596.0,346.0,476.0,617.0,735963.76,NEAR BAY,696447.0
-122.86878126713982,37.868632831626115,17.9,4546.0,498.0,2000.0,785.0,609916.39,<1H OCEAN,762559.0
-122.31096005920577,37.38946931353025,41.3,2095.0,305.0,1507.0,760.0,211032.07,<1H OCEAN,419482.0
-122.93095841639146,37.291845921940116,48.3,1827.0,186.0,1511.0,655.0,564635.63,INLAND,940135.0
-122.77475406897102,37.574453826373684,37.2,2962.0,629.0,2646.0,261.0,373923.17,<1H OCEAN,940648.0
-121.13932466719375,38.26157127182032,27.9,2242.0,461.0,344.0,103.0,103284.72,INLAND,1130732.0
-122.05382104226466,37.85830755243529,23.8,152.0,112.0,2639.0,278.0,582291.63,ISLAND,379212.0
-121.25339310634976,37.282567072435796,25.6,714.0,429.0,2349.0,296.0,695015.24,ISLAND,950713.0
-122.57084222790843,38.24642528152739,28.9,4216.0,921.0,2307.0,804.0,164977.47,NEAR BAY,451506.0
-122.07895636487854,38.456914400248415,49.6,4725.0,109.0,2642.0,983.0,394930.01,NEAR BAY,1028152.0
-121.08763956167388,38.27850678787772,33.1,3066.0,992.0,1066.0,654.0,598167.48,NEAR OCEAN,1160423.0
-121.50566369666042,37.85925076759875,44.5,4789.0,996.0,2427.0,602.0,370764.65,INLAND,433262.0
-122.44068752179558,38.14189497186294,51.0,4312.0,168.0,1459.0,309.0,793001.46,ISLAND,803264.0
-122.38220180099843,38.05329207303699,20.3,2173.0,364.0,2903.0,620.0,873746.26,NEAR OCEAN,1050400.0
-122.29401107947687,37.57140937315403,19.5,1498.0,335.0,1952.0,737.0,832090.59,ISLAND,533802.0
-121.61939809525418,38.171444143747834,28.9,3706.0,453.0,1037.0,412.0,701509.22,NEAR BAY,827795.0
-121.719749487988,38.39146550505244,40.8,483.0,146.0,1713.0,257.0,455896.01,INLAND,307339.0
-122.77615467421266,37.833300794772825,50.2,2437.0,402.0,1510.0,763.0,425131.48,INLAND,540916.0
-122.27607111546153,37.37966332951858,18.4,2632.0,502.0,1069.0,279.0,579455.9,<1H OCEAN,722036.0
-121.0951260567115,37.27450526805026,49.1,2635.0,125.0,1472.0,612.0,857191.97,NEAR OCEAN,443180.0
-122.68521183627463,37.32835479884094,45.4,3248.0,361.0,2075.0,105.0,853070.11,NEAR OCEAN,375549.0
-122.98212087893457,38.297281496930864,29.8,2207.0,943.0,2422.0,983.0,515972.34,INLAND,566308.0
-122.6216476477891,38.24926238920962,44.8,3720.0,584.0,323.0,772.0,480135.21,ISLAND,452605.0
-121.5069437460175,37.88662834447136,41.7,2641.0,201.0,361.0,709.0,222386.38,NEAR BAY,1135450.0
-121.82623643482276,37.17736266514837,47.9,194.0,496.0,2902.0,621.0,258646.0,<1H OCEAN,934758.0
-122.90959855237773,37.45499470959351,37.0,800.0,833.0,2601.0,904.0,331460.19,<1H OCEAN,797519.0
-122.50389824001566,37.26498730576281,47.1,685.0,268.0,1225.0,545.0,776678.02,NEAR OCEAN,1003380.0
-122.80705319871205,37.746525792799666,34.9,3359.0,348.0,1615.0,755.0,228489.64,NEAR OCEAN,683574.0
-122.5807803894783,38.12744630765236,31.1,4022.0,214.0,2241.0,325.0,372976.32,NEAR BAY,592526.0
-121.83172111998987,37.71141190687369,36.1,1631.0,291.0,1541.0,840.0,642707.22,NEAR OCEAN,846440.0
-122.17889306215862,37.70495431896614,37.1,4719.0,210.0,1122.0,926.0,589827.2,NEAR BAY,321990.0
-122.33419653925772,38.49916293652065,18.7,3922.0,150.0,2791.0,857.0,460636.22,INLAND,796971.0
-121.62207833474807,38.20659047434526,26.4,923.0,942.0,2673.0,845.0,734430.94,INLAND,1007105.0
-121.92889025026349,37.914598669145754,37.0,3331.0,278.0,1926.0,401.0,880347.1,NEAR BAY,1114379.0
-121.46677193313906,37.336679136950664,41.4,1470.0,582.0,504.0,307.0,152225.7,ISLAND,1137460.0
-122.7933187178169,38.053123878953905,41.3,1029.0,508.0,2123.0,217.0,838012.56,ISLAND,1168005.0
-122.39418035618847,37.503965234660804,23.5,2818.0,937.0,2181.0,490.0,887589.35,<1H OCEAN,979586.0
-122.23809370983459,37.21693671807384,42.7,996.0,381.0,2970.0,485.0,451287.38,INLAND,707486.0
-122.42867216953417,37.105304707236535,29.8,2814.0,725.0,1477.0,773.0,442453.61,<1H OCEAN,584593.0
-122.55204977997907,38.38580775275907,34.3,4271.0,555.0,433.0,715.0,488854.86,<1H OCEAN,354198.0
-121.98087004103076,37.01558991998986,21.9,1124.0,402.0,1767.0,643.0,102612.33,<1H OCEAN,850628.0
-121.13559991192344,37.75448031160929,20.2,411.0,429.0,982.0,161.0,719887.04,NEAR BAY,994286.0
